Speaker	Utterance	Emotion	Sentiment
sonya	दाद्, वो इस्के मम्मि हैन्	fear	negative
indu	ओह्, फ़िर् तोह् कुच् नेहि हो सक्त	sadness	negative
maya	रिघ्त्, इश् लिये प्लेअसे जर चुप् रहो	contempt	negative
krish	अच्च इये बतओ कि मध्यम् क्युन् बनेग? मेरे कह्ने क मत्लब् हैन् कि बा के अत्म किस्के सरिर् मैन् लयेन्गे? उन्च्ले, आप् मध्यम् कुय्न् नेहि बान् जाते?	neutral	neutral
indu	अरे नेहि नेहि। मैन् अगर् मध्यम् बन् गेय तोह् बा बात् किस्से करेगि? 	neutral	neutral
indu	उन्लेस्स् योउ वन्त् अ दोउब्ले रोले। हेय् बकोर, बोलि थि कि तु कोहि चूति घर् के लद्कि से सादि कर्न, मय तोह् बिल्कुल् बक्वस् हैन्। नेहि नेहि बा माफ़् कर् दो हर् इन्सान् से गलति होते हैन्	contempt	negative
maya	हो गेय इन्द्रवदन्?	neutral	neutral
indu	नेहि नेहि व्हत् इ मेअन् तो सय् कि इ क्नेव् बा, वो किसि मार्द् कि बोद्य् मैन् चोम्फ़ोर्तब्ले फ़ील् नेहि कर्ति 	neutral	neutral
maya	या थत्स् रिघ्त्। इसि लिये मध्यम् मोनिश बनेगि। 	neutral	neutral
monisha	मैन्? नेहि नेहि मैन् नेहि	fear	negative
maya	मोनिश हुम् इश् बाक्त् जिश् सितुअतिओन् मैन् फ़ासे हैन् वो तुम्हरे लपर्वयि कि बजय् से हैन्। तोह् तुम्हर फ़ार्ज़् बन्त हैन् कि॥दोन्त् योउ अग्री? सहिल् व्हत् दो योउ सय्?	contempt	negative
monisha	सहिल्	fear	negative
sahil	अब्सोलुतेल्य् इ मेअन् मोनिश तुम्हे इये कर्न होग और् वैसे भि मुझे नेहि लग्त इये सुच्चेस्स्फ़ुल् होने वल हैन् तोह् व्ह्य् दो नोत् योउ गिवे इत् अ शोर्त् त्र्य्?	neutral	neutral
krish	हे मिघ्त् नोत् बे व्रोन्ग्। व्हत् इ मेअन् तो सय् के इये एक्ष्पेरिमेन्त् मैन् पह्ले दो बार् कर् चुक हुन्, अन्द् इत् फ़ैलेद्।	neutral	neutral
indu	वाह्	joy	positive
krish	सो लेत्स् सी कि इ मेअन् थिस् इस् अ फ़्रेश् अत्तेम्प्त् 	neutral	neutral
monisha	लेकिन् मम्मि जि, अगर् मैन् मर् गयि तोह्?	fear	negative
maya	ऐस कुच् होग। अगर् कुच् हुअ तोह् मैन् देख् लुन्गि उसे 	neutral	neutral
monisha	अरे मम्मि जि, मुझे वो धूबि से बर रुपैन् लेने हैन्, निचे मैन् ससरिय जि के पाश् मेरे स्तील् क दिब्ब पर हुअ हैन्, और्	fear	negative
sonya	क़ुइएत्! क्रिश् अरे योउ रेअद्य्?	neutral	neutral
krish	हान् हान् 	joy	positive
sonya	स्तर्त्	neutral	neutral
krish	बा क कम्र क्युन् स थ?	neutral	neutral
 
monisha	बकुर, मेरे पैर् बकुर। 	sadness	negative
indu	बा	surprise	neutral
monisha	मेरे पैर् बकुर, मैन् दार्द् से मरि ज रहि हुन्	sadness	negative
maya 	वोव् थत् इस् अब्सोलुतेल्य् बा	surprise	neutral
sonya	क्रिश्, इये कैसे किय तुम्ने? प्लेअसे तेल्ल् मे होव् दिद् योउ दो इत्	surprise	neutral
krish	सोन्य मैन् भि इये सोच् रह हुन्, इत् अच्तुअल्ल्य् वोर्केद् यार्	surprise	neutral
monisha	मैन् मार् रहि हुन् बकुर	fear	negative
rosheh	पैर् से? लेकिन् अभि अभि तोह् पैद हुये हैन्। 	surprise	neutral
monisha	इये क्यन् बोल? वो दोर्दय, रोशेह्। निकाल् दे इस्को, घार् से बहर् निकाल् दे। 	anger	negative
indu	ह ह ह ब ब ब ब। वो वो बातैये न अप्प् वो लेअसे के पपेर्स् कह राखैन् हैन्। वर्न इये गोवेर्न्मेन्त् वालो हुम् को घार् से निकाल् देन्गे। प्लेअसे	fear	negative
monisha	लेअसे के कगज्। 	neutral	neutral
indu	ह ह ह 	joy	positive
monisha	लेअसे के कगज् तोह् वो वो वो हय् भग्वन् 	fear	negative
 
indu	इत्स् अमज़िन्ग्	joy	positive
sonya	फ़न्तस्तिच्, दिद् इ तेल्ल् योउ दद्? 	joy	positive
maya	इन्च्रेदिब्ले अब्सोलुतेल्य् इन्च्रेदिब्ले क्रिश्। अच्च वो होश् मैन् कब् अयेन्गि? 	joy	positive
krish	आअ इ दोन्'त् क्नोव् औन्ति	neutral	neutral
sonya	अच्च क्रिश् एक् बात् बतओ। इये बा ऐसे क्युन् बेहवे कार् रहि थि जैसे कि उन्हे पत हि नेहि वो अत्म हैन् किसि और् कि सरिर् मैन् 	neutral	neutral
krish	वो न, वो इ दोन्त् क्नोव्	neutral	neutral
maya	लेकिन् बा कि अत्म चालि तोह् नेहि जयेगि न हुम् उस्को पुच् ले उस्के पह्ले	fear	negative
krish	वेल्ल् इ दोन्त् क्नोव्	neutral	neutral
indu	व्हत् दो योउ क्नोव् क्रिश्? इ मेअन् तुम् पसिन पसिन हो रह हुन्, थत् योउ क्नोव् कि वो भि नेहि पत?	contempt	negative
maya	अरे बेचरे क पेह्ल पेह्ल सुच्चेस्स्फ़ुल् एक्ष्पेरिमेन्त् हैन्, थोर बौक्ल गेय हैन् इत्स् जुस्त्	neutral	neutral
indu	ओकय् इ अम् सोर्र्य्, पनि पियोगे?	joy	positive
krish	इ दोन्त् क्नोव्	fear	negative
indu	बा कि अत्म को बपस् भिज्वन तो अत हैन् न?	anger	negative
maya	योउ दोन्त् क्नोव्	fear	negative
 
monisha	बकुर	neutral	neutral
indu	केय हुअ बा?	neutral	neutral
monisha	इये सहिल् बब्ल पगल् हो गेय हैन् बकुर। इस्ने केय किय पत हैन्?	anger	negative
indu	केय किय तुने सहिल्? अरे बेशरम् अब्ब् इये तेरि ददिम हैन्, थोर तोह् सबर् कर् सक्त न तु	disgust	negative
sahil	दाद् मैने इसे सिर्फ़् मोनिश कह्के पुकर हैन् अन्द् थत्स् अल्ल्	anger	negative
monisha	लेकिन् कुय्न् बब्ल?	neutral	neutral
indu	वो बा केय हैन् वो गेर्मन् सिख् रह हैन् न और् गेर्मन् मैन् ददिम को मोनिश कह्के बुलत हैन् 	joy	positive
monisha	तोह् थिक्	neutral	neutral
sahil	थिस् इस् पुरे उनदुल्तेरतेद् नोन्सेन्से अन्द् इ रेफ़ुसे तो बेलिएवे इन् थिस् होचुस्-पोचुस्	contempt	negative
indu	देखो 	neutral	neutral
sahil	नेहि नेहि लेअवे मे अलोने	contempt	negative
indu	सहिल् सहिल्	neutral	neutral
monisha	बब्ल तोह् बोहोत् सरि गेर्मन् सिख् गेय हैन् हैन् बकुर?	joy	positive
maya	बा चाये आ गेयि। मैन् पिलति हुन्, इये लिजिये, लिजिये	joy	positive
monisha	हेय् बकुर	neutral	neutral
indu	हान् बोलो बा	neutral	neutral
monisha	जर पोलिचे को फोने लग तोह्	anger	negative
indu	हा बा और् केय कहु?	neutral	neutral
monisha	के इये मय चोर् हैन्	anger	negative
indu	ओकय्	neutral	neutral
maya	अरे केय ओकय्? मैने केय चुरय हैन्?	surprise	neutral
monisha	मेरे कन्कन् चुरये, चोर्ति। अब् तोह् मेरे आखैन् भि नेहि बन्द् हुयि और् इस्ने मेरे हात् से मेरे करे उतर् लिये। अब् तोह् मैन् हर्गिस् नेहि बतयुन्गि के लेअसे के कगज् कह रखैन् हैन् जा 	anger	negative
maya	बा नेहि नेहि ऐस मात् कहिये, मैने तोह् एउहि पह्ने थे, आप् हि पहन् लिजिये न। देखिये देखिये अरी भा कित्ने अच्चे लग्ते हैन् इये करे आप्के हात् मैन्, सो लोवेल्य् ना 	joy	positive
monisha 	मम्मि जि आप्ने मुझे इत्ने पेयर् से कन्कन् पह्नयैन्	surprise	neutral
maya	मोनिश	surprise	neutral
monisha	आह्, मेरे सर् इत्न भारि भारि स कुय्न् लग् रह हैन्? मम्मि जि मुझे घर् ले के चलियैन्	neutral	neutral
maya	नेहि नेहि लेते रहो, लेते रहो आहि लेते रहो	neutral	neutral
monisha	अरे लेकिन् मेर वो सेरिअल् उस्क पति सिफ़्र् मेर हैन् सुरु होने क तिमे हो गेय हैन् 	neutral	neutral
maya 	कल् रेपेअत् देख् लेन ओकय्?	neutral	neutral
monisha	लेकिन् मम्मि जि	sadness	negative
maya	ओफ़्फ़् गोद्'स् सके, केय रख हैन् वो सरे हुए सेरिअल्स् मैन्? चुप् चप् इह लेते रहो। जब् वो पपेर्स् मिल् जयेन्गे उस्के बाद् चए जन ओकय्? 	anger	negative
monisha	नो ओकय् मय, देख बकुर देख तेरि बिबि क अस्लि रूप्। मैन् लेअसे के पपेर्स् दे दुन्गि तोह् मुझे घर् से निकल् देगि 	fear	negative
maya	नेहि बा ऐस थोरि करुन्गि मैन्? 	joy	positive
monisha	अभि मैन् मार् जयुन्गि लेकिन् लेअसे कि पपेर्स् कह हैन् इये नेहि बतौन्गि मत्लन् नेहि बतयुन्गि 	anger	negative
 
sahil 	अभि मोनिश को जगओ, इ गोत् तो तके हेर् तो थे प्स्य्चिअत्रिस्त्	neutral	neutral
rosesh	बरि मुस्किल् से सोयि हैन् बा	neutral	neutral
sahil 	इये बा नेहि हैन्	anger	negative
rosesh	इये बा हैन् भै। जब् इक दिल् बह्लने के लिये मैने अप्ने नेयि कबित सुनयि तब् इन्होने मुझे थप्पर् मर 	neutral	neutral
sahil 	तुम्हरे कबित सुन्के तुम्हे कोहि भि थप्पर् मरेग रोशेह् इस्क मत्लब् हर् कोहि बा तोह् नेहि हैन् न 	contempt	negative
monisha	बब्ल अय हैन्। बब्ल कित्ने बजे हैन्?	joy	positive
sahil 	नो बज् रह हैन् मोनिश 	neutral	neutral
monisha	त्व् चल रोसेश्, क्ब्च् अने वल हैन्, चल 	neutral	neutral
rosesh	वो तोह् खतम् हो गय हैन् बा	neutral	neutral
monisha	क्ब्च् तोह् दश् बजे खतम् होत हैन् दोर्दय, चल त्व्	anger	negative
rosesh	अप्प् को वैसे भि थिक् से कह दिखै देत हैन् बा	neutral	neutral
monisha	पर् सुनै तोह् देत हैन् न आप् के चोम्पुतेर्स् पे अगेय अग्ल सवल्। मय के सब्चेये बरि बुरै कौन्सि हैन्, अ मय कि ददगिरि। ब् मय क बुर स्वभब्। च् मय क हिघ् सोचिएत्य् धोन्ग् और् द् मय के ब्लोउसे	contempt	negative
ila	अरे इये तोह् एक्दम् बा हैन्	joy	positive
monisha	क्यन्? इल। इलबेत तु आ गयि। 	neutral	neutral
ila	ह ह बा कैसे हैन् तु?	joy	positive
monisha	मर्ने के लिये तैयार् हुन् बेत 	sadness	negative
madhu	इये व्हील्चैर् पे क्युन् हैन् मोनिश?	neutral	neutral
monisha	मोनिश? इल, जमै रज को भि गेर्मन् भश अत हैन्?	surprise	neutral
madhu	हा?	neutral	neutral
rosesh	फ़ुफ़ जि, इश् समै इये भभि नेहि हैन्	anger	negative
madhu	हा?	neutral	neutral
rosesh	इश् समै इये बा कि अत्म हैन्	anger	negative
madhu	हा?	neutral	neutral
monisha	हेय् नपवत्, तु त्व् चल 	anger	negative
rosesh	त्व् खरप् हैन् बा 	neutral	neutral
monisha	तोह् चस्सेत्ते य च्द् बज 	neutral	neutral
rosesh	ब्रित्नेय् स्पेअर्स् और् मदोन्न मिक्ष् कि चलेगि?	neutral	neutral
monisha	च्लेगि। भजन् अच्चे हैन् न उन्के?	neutral	neutral
ila	हहहह	joy	positive
rosesh	ब्रित्नेय् स्पेअर्स् के भजन्। उन्के नै है किसि और् के चलत हून्।	neutral	neutral
monisha	हुन्, चल चल 	anger	negative
ila	हेय् बा जल्दि से बत तुने उश् लेअसे के पपेर्स् कह रखैन् हैन्? 	joy	positive
monisha	मय के हत् मैन् लेअसे अयेगि और् हुम् घर् से बहर्	fear	negative
ila	तु इन्को लेअसे के पपेर् दे दे। वर्न 	neutral	neutral
maya	जय् स्रि क्रिश्न। मेरि ससुम सर्गियो पन्कौर् बेन् सरभै को स्रोधन्जोलि अर्पित् कर्ते हुए मैन् इये भजन् पेश् कर्ने जा रहि हुन् - पन्खि रनि इह पिन्ज्रु जोनु जोनु लगे 	sadness	negative
monisha	हेय् भग्वन् सुन मय ने मुझे जिते जि स्रोधन्जोलि दे दि 	fear	negative
rosesh	इये पन्च् साल् पुरै हैन् बा 	neutral	neutral
ila	रोसेश् तुजे इये तपे मिलि थि? 	anger	negative
monisha	इसे मय को लेअसे के कजग् दे दु जो मेरे जान् लेने पे तुलि हैन्	fear	negative
ila	ऐसे नेहि हैन् बा	anger	negative
monisha	ऐस हि इल ऐस हि हैन् 	fear	negative
madhu	घर् मे कित्ने शन्ति हैन् न रोसेश् 	joy	positive
rosesh	य योउ बेत्	contempt	negative
madhu	हा?	neutral	neutral
monisha 	तु एक् काम् कर् तेरि बपुजि को बुल ले अभि इसि बक्त् तेरे बपुजि को बुल 	anger	negative
ila	बपुजि	surprise	neutral
 
maya	बपुजि बा कि गुजर् जने के अत् महिने बाद् गुजर् गेये न  	neutral	neutral
indu	हा इसि लिये बा को पत नेहि थ के बपुजि गुजर् गेये	neutral	neutral
ila	तोह् बपुजि बा को उपर् मिले नेहि हैन् केय?	neutral	neutral
maya	उन्क दिमग् खरप् हैन् उपर् ज कर्के बा से मिलेन्गे 	contempt	negative
ila	ये इन्दु एक् काम् कर्ते हैन् हुम् बपुजि को अत्म को भि बुल लेते हैन् 	joy	positive
indu	गूद् इदेअ	joy	positive
maya	अरे योउ च्रज़्य्?	surprise	neutral
indu	क्युन्	neutral	neutral
maya	अरे एक् अत्म नेहि सम्भल् रहि हम्से दो दो कह से समलेन्गे 	fear	negative
indu	फ़िर् भि इदेअ गज़ब् क हैन् जर सोचो सहिल् के बोद्य् मे बपुजि के अत्म। हेय् पन्कौर् मय को बोल् मेर खन गरम् करे। 	anger	negative
maya	सुन अप्ने इलबेन्?	joy	positive
ila	मय समे तो समे बपुजि के अवज्। हेय् इन्दु तु एक् कम् कर्। बपुजि के अवज् मे बा को पोर्बन्दर् से फोने कर् 	joy	positive
indu	गूद् इदेअ 	joy	positive
maya	इदेअ अच्च हैन् न मेर	joy	positive
ila 	लेकिन् इलबेन् इदेअ तोह् आप्ने दिय न 	neutral	neutral
maya	लेकिन् 	neutral	neutral
madhu	एक् मिनुते एक् मिनुते। आप् लोगो ने आज् एक्बात् नोतिचे कि? 	joy	positive
indu	केय	neutral	neutral
madhu	आप् लोगो ने आज् एक्बात् नोतिचे कि?	joy	positive
indu and ila 	केय 	anger	negative
madhu	मोनिश आज् थोरि थोरि बा जैसे लग् रहि थि 	joy	positive
indu	मधु भै मोनिश हि बा हैन् 	anger	negative
madhu	हा?	neutral	neutral
 
maya	बपुजि क फोने अने वल हैन् अभि पोर्बन्दर् से। वो उह सयेद् एक् हप्त और् रुकेन्गे। पर् फ़िर् उस्के 	surprise	neutral
sarita	मय 	surprise	neutral
maya	इये	neutral	neutral
monisha	हैल मम्मि जि, आप् मेरे पैर् क्युन् दब रहि हैन्? 	joy	positive
maya	ओह् म्य् गोद् मोनिश, अरे तुम् कह से आ गयि, इत्ने मुस्किल् से तोह् बपुजि को अर्रन्गे किय हैन् हम्ने। बा कह गयि? बा बा बा 	fear	negative
sarita	अरे योउ ओकय्? इये सब् तुम् केय कहि रहि होन्? तुम्हरि सश् मर् गयि हैन् मय 	neutral	neutral
monisha	हान्? केय कहि रहि हैन् इये मय? 	anger	negative
maya 	नेहि बा, बा। 	surprise	neutral
monisha 	मै मर् गयि हुन्? 	sadness	negative
maya 	नेहि नेहि बा मरे आप्के दुश्मन्। वो इस्ने मुर्देर् धेक्ने गयि थि न मुर्देर्। तोह् इस्को बीच् बीच् मैन् अक्सर् खाने के इयाद् अत हैन्। 	joy	positive
sarita	व्हत्?	surprise	neutral
maya	इ विल्ल् एक्ष्प्लैन् एवेर्य्थिन्ग् तो योउ सरित, मैन् बद् मैन् फोने कर्ति हुन् तुम्हे। तुम् जओ अभि जओ प्लेअसे। इ लोवे योउ ब्ये। [फोने रिन्गिन्ग्] वो फोने अय। हेल्लो	fear	negative
indu	हेल्लो मय दो दो मोनिश बा को फोने दो मै बात् कर्त हुन् बपुजि के अवज् मैन् 	joy	positive
maya	बा, बपुजि क फोने 	joy	positive
sarita	बपुजि लेकिन् वो भि तोह् 	surprise	neutral
maya	इ विल्ल् एक्ष्प्लैन् एवेर्य्थिन्ग् तो योउ, तुम् अभि इह से जओ न। बर चोम्प्लिचतेद् हैन् मैन् तुम्हे बाद् 	neutral	neutral
monisha 	हेल्लो क्युन्? 	neutral	neutral
indu	अरे वह् मोनिश। इश् साल् बेस्त् अच्त्रेस्स् क अवर्द् तुम्हि को मिलेग। 	joy	positive
monisha 	इन्दु क बपुजि जै स्रि क्रिश्न। मय सर् पे पल्लु दल् बेशरम् तेरे ससुर् क फोने हैन्। हा लेअसे 	contempt	negative
indu	वो लेअसे के पपेर्स् मैन् कभि से पौच दिय हैन् मुनिचिपल् चोर्पोरतिओन् मैन् 	joy	positive
monisha 	मुझे कह सीने से बन्ध् कर् ले जनि हैन् लेअसे। बस् कोहि मेरे थोरि सेव करे, मुज्से थोर पयेर् करे 	neutral	neutral
maya	मै पैर् तोह् दब हि रहि हुन् न बा 	fear	negative
monisha	वैसे पैर् बोहोत् अच्च दव लेते हैन् बकुरे के बिवि हान्। 	joy	positive
indu	अच्च सुन् एक् आख्रि इतेम् कर्ते हैन् 	neutral	neutral
monisha 	पानि पिल मय	neutral	neutral
maya	हन् अभि अयि 	neutral	neutral
monisha 	हेल्लो। दद्द्य् जि बस् अब् इये खेल् खतम् कर्ते हैन्। अगर् पर्के गयि तोह् बन्द् बज् जयेगि। 	neutral	neutral
indu	अरे नेहि मोनिश अभि तक् किसि को सक् तक् नेहि हुअ 	neutral	neutral
monisha 	आप्ने बा बन्नि कि इते अच्चि त्रैनिन्ग् जो दि थि	joy	positive
indu	अच शुन् एक् आख्रि इतेम् ओकय्? द्यन् से सुन्। समज् गेयि? 	neutral	neutral
monisha 	ह ह भले। जै स्रि क्रिश्न 	neutral	neutral
maya 	बा पानि। केय कह बपुजि ने?	joy	positive
monisha 	तेरे ससुर् जि ने कह हैन् तोह् लेअसे तोह् मुझे देनि परेगि। लेकिन् उस्के पह्ले एक् अख्रि इच्च पुरि कर्दे बेत। 	neutral	neutral
maya	हा बा बोलिये जो आप् कहेन्गि। 	joy	positive
monisha	मर्ने से पह्ले मैन् सहिल् के बहु को धेख्न चति हुन्। सहिल् के सदि कर्व दे मैन् तुझे लेअसे दे दुन्गि। 	neutral	neutral
 
sahil	मिस्तेर् इनम्दर् बस् दो दिन् कि मोह्लत् दिजिये मय् खुद् पपेर्स् ले कर् आ रह हुन्	neutral	neutral
person	क्युन् मज़क् कर् रह है मुज्से? चर् दिन् पह्ले हि अप्के दद्द्य् ने लेअसे के सरे पपेर्स् पौच दिये थे। इये देखिये, इये अच्क्नोव्लेद्गेमेन्त् लेत्तेर्, और् इये लेअसे के उप्दतेद् चोप्य्, और् इये हमरे तरफ़् से अपोलोग्य् लेत्तेर्। खमोख आप्क् परेशन् किय 	joy	positive
sahil	हा दद् ने चर् दिन् पह्ले हि सुब्मित् किये थे न इये लेअसे के पपेर्स्। 	joy	positive
person	हा मैने आप् कि दद्द्य् को कहि बर् फोने किय के आप्के उप्दतेद् दोचुमेन्त्स् बिज्व दुन्, पर् पत नेहि वो क्युन् तल्ते रहे। कल् से मैन् लेअवे पर् ज रह हुन्, इस्लिये मै खुद् हि लेके चल अय। सोर्र्य् फ़ोर् थे त्रोउब्ले 	joy	positive
sahil	इन्फ़च्त्, इ अम् सोर्र्य्। थन्क्स् अ लोत् 	neutral	neutral
maya	सहिल् बिग् प्रोब्लेम्, अब् बा कह रहि है कि तुम्हरे सादि देखे बगर् वो लेअसे के पपेर्स् नेहि देन्गि	fear	negative
sahil	चिल्ल् चिल्ल् मोम्, इये पधिये	neutral	neutral
maya	केय हैन्? 	neutral	neutral
sahil	पधिये पधिये पधिये। बा कि अत्म निचे अने से एक् दिन् पह्ले दद् ने लेअसे के पपेर्स् मुनिचिपल् चोर्पोरतिओन् मे अल्रेअद्य् सुब्मित् कर् दिये थे 	neutral	neutral
maya	ओह् म्य् गोद्	surprise	neutral
 
maya	मै एस् आद्मि से थक् ग्यि हु सहिल्, द्र्। देसै ने एसे दस् बार् कह है कि एसे चल्चिउम् देफ़िचिएन्च्य् है,दुध् पीन जरुरि है,वर्न घुत्ने जोइन्त्स् सब् बेकर् हो जयेन्गे लेकिन्॥	anger	negative
indravardhan	अह्ह्ह्॥द्र्। तो कुछ् भि बक्वस् कर्ते र्ह्ते है॥बेव्कूफ़ो के सर्दर्	contempt	negative
sahil	हेल्लो दद्, मै भि एक् दोच्तोर् हु	neutral	neutral
indravardhan	अरे हान्, मेर मत्ल्ब् है कुछ् दोच्तोर् तो बक्वस् कर्ते है, दोच्तोर् देसि क जरुर् कोइ निज़ि फ़येद होग मुझे दुध् पिलने मे॥	anger	negative
maya	ओफ़्चोउर्से, दोच्तोए देसै तो दुध् वल भैय है, वो घर् घर् दुध् बेच्ने जाते है ,गले मे स्तेथोस्चोपे लत्क कर्	contempt	negative
sahil	मोम् मोम् जुस्त् रेलक्ष्	neutral	neutral
maya	इ जुस्त् चन्'त्,एस्को दुध् पिलने के चक्कर् मे मेरे घुत्ने कम्जोर् हो ग्ये है,एस्के पीछे पीछे भग् कर्	anger	negative
sahil	हहहह्	joy	positive
maya	अगर् ओस्तोपोरेसिस् हो ग्य न और् तुम्हरे घुत्ने बेकर् हो ग्ये ,तुम्हरि बा कि तरह्,तो मै तुम्हरि देख्भल् न्हि कर्ने वलि हु॥	anger	negative
indravardhan	हान्,तो मेरि बेति मोनिश है न मेरि देख्भल् कर्ने के लिये॥	neutral	neutral
sahil	अहहहह्	contempt	negative
maya	मोनिश तुम्हरि देख्भल् करेगि, मोनिश तो अप्ने कित्चेन् कि देख्भल् न्हि कर् पाति, गस् स्तोवे पे ज़मि हुऐ ग्रीस् पे अप्न नाम् लिख्ति है उन्ग्लि से,पिचस्सो कि पैन्तिन्ग् के पास् प्यज़् क बुन्द्ले लत्कति है,रेस्त्रौ से आये हुअय् आचर् बोत्त्ले मे इकथ्थ कर्ति है,मिक्ष् पिच्क्ले केह्ति है उसे	contempt	negative
indravardhan	ये नय पोइन्त् है	joy	positive
maya	अरे मोनिश के राज़् मे तो बेचरे अर्तिफ़िचिअल् प्लन्त्स् भि मुर्झ जाते है॥तुम्हे तो मलुम् न्हि॥	contempt	negative
sahil	मोम् दद् हुमे तो ये तय् कर्न है कि आप् दोनो क झग्द कैसे सोल्वे किय जाये	neutral	neutral
maya	एसे कहो कि चुप् चप् दुध् पिले वर्न मुज्से बुर कोइ न होग॥	anger	negative
sahil	दद् चुप् चप् दुध् पी लिजिये	neutral	neutral
indravardhan	पेह्ले उस्से कहो कि मुझ्से ददगिरि से न पेश् आये, मै एस् घर् क मलिक् हु॥ओकय्	anger	negative
sahil	मोम्॥दद् प्लेअसे दुध् पी लिजिये न	neutral	neutral
indravardhan	सहिल् यार्	disgust	negative
maya	थत्'स् बेत्तेर्॥ग्रेअत्	neutral	neutral
indravardhan	न्हि यार् मुझ्से न्हि पिय जयेग॥ंअय दुध् गिर् ग्य बोलो॥	neutral	neutral
maya	थिस् इस् थे लस्त् स्त्रव् इन्द्रवर्धन्, योउ अरे थे लिमित्, ये उस्ने जान् बुझ् कर् किय है	anger	negative
indravardhan	मय मैने जान् बुझ् कर्॥।	fear	negative
 
roshesh	सहिल् भै ११ बज् ग्ये लेकिन् मोम्म अभि तक् न्हि आयि	fear	negative
indravardhan	ह कुछ् गुन्दे मोम्म को उथ कर् ले ग्ये होन्गे 	neutral	neutral
roshesh	सहिल् भै मोम्म मोबिले भि न्हि उथ र्हि है	fear	negative
indravardhan	कैसे उथयेगि॥।गुन्दे ने मय क हाथ् मरोर् कर् पुछ होग क्यु जनम् दिय रोशेस् को ब्त॥क्यु जनम् दिय रोशेश् को?	neutral	neutral
roshesh	कोइ मोम्म को सच्मुच् तो उथ  कर् न्हि ले ग्य होग न	fear	negative
sahil	स्तोप् वोर्र्यिन्ग् रोशेश् मोम् को कुछ् न्हि होग	neutral	neutral
maya	योउ मय्बे व्रोन्ग् सहिल्	neutral	neutral
sahil	थेरे शे इस्	neutral	neutral
maya	क़्कि मुझे कुछ् तो हुआ है	joy	positive
roshesh	मोम्म आ ग्यि॥मोम् आप् सलमत् तो है न	neutral	neutral
maya	हान् फ़ोर् तिमे बेइन्ग् स्वीत्य्॥लेकिन् मै क्भि भि गिर् स्क्ति हु॥क़्कि मै हव मे उद् र्हि हु॥गूद् निघ्त् एवेर्य्बोद्य्॥आज्कल् पाव् ज़मीन् पर् न्हि पद्ते मेरे	joy	positive
sahil	मोम्	neutral	neutral
maya	आज् फ़िर् जीने कि तमन्न है॥ऽअज् फ़िर् चुप्के चुप्के मर्न है	joy	positive
indravardhan	ओह्हो छयगि एक् मिन् ॥ये सब् है क्य हान्?	neutral	neutral
maya	अह्सास्,अप्ने ज़िन्द होने क अह्सास्॥सहिल् आज् मै सुधन्शु खन् कि पैन्तिन्ग् एक्ष्हिबितिओन् देख्ने ग्यि थि ओर् इन्स्पिरतिओन् बन् के लौति हु जब् मै गल्लेर्य् ,ए पहुचि तो सब् बदि बदि सोचिअलितेस् सुधन्शु के ओइल्स् खरीद् र्हि थि	joy	positive
monisha	सुधन्शु तेल् बेच्त है?	neutral	neutral
sahil	ओइल्स् मत्ल्ब् ओइल् पैन्तिन्ग्स्॥ फ़िर् क्य हुआ मोम्	neutral	neutral
maya	जैसे हि मै एन्तेर् हुऐ जोभ बनेर्जी बोलि॥मय सरभै वेल्चोमे अन्द्॥	joy	positive
roshesh	अन्द्?	neutral	neutral
maya	सुधन्शु मुद॥मय॥'थे मय सरभै' क्य  क्भि तुम्हे  किसि ने कह है कि तुम् दुनिय कि सब्से मग्नेतिच्, अत्त्रच्तिवे ओर् चोम्प्लेते औरत् हो?	neutral	neutral
indravardhan	लेकिन् इत्न बद झूथ् कोइ क्यु बोलेग?	neutral	neutral
maya	ये झूथ् सुधन्शु ने मेरे आन्खो मे आन्ख् दाल् कर् कह इन्द्रवर्धन्॥फ़िर् ध्हेरे से बोल मै तुम्हरि पैन्तिन्ग् बनन चह्त हु॥विल्ल् योउ बे म्य् मुसे मय सरभै	neutral	neutral
monisha	मगर् वो आप्को खछर् क्यु ब्नन चह्त है मुम्म्य् जी	neutral	neutral
sahil	मुसे मुसे ॥मोनिश॥खछर् यनि मुले॥। आप्ने क्य कह मोम्	neutral	neutral
maya	सहिल्॥ज़िन्दगि मे पेह्लि बार् मै बिल्कुल् चुप् रेह् ग्यि॥शरम् से मेरि आन्खे झुक् ग्यि और् आन्शु निकल् आये॥उस्ने झत् से अप्न त्-शिर्त् निकल ओए मेरे आन्शु समेत् लिये	joy	positive
indravardhan	क्य? उस्ने त्-शिर्त् निकल॥कम्बख्त् के पास् रुमाल् न्हि थ जेब् मे	contempt	negative
 
indravardhan	क्क्क् क्य ? दिमग् खरब् हो ग्य है तुम्हर मय॥तुम् उस् फ़ल्तु रन्गरे से प्यर् कैसे कर् सक्ति हो?	anger	negative
maya	सुधन्शु को रन्गर मत् कहो, हे इस् अन् अर्तिस्त्	contempt	negative
indravardhan	येस्॥अ स्त्रिप् तीस् अर्तिस्त्॥बात् बात् पे अप्नि शिर्त् निकल् देत है नन्ग॥अरे क्य है क्य उस्मे?	anger	negative
maya	सुधन्शु मुझ्से प्यर् कर्त है	joy	positive
indravardhan	तो मैने तुम्से प्यार् न्हि किय तीस् साल् पेह्ले?	anger	negative
